feature_set,model,accuracy,precision,recall,f1,roc_auc
driver_constructor_circuit,Gradient Boosting,0.8992185566928288,0.669071468841776,0.5373765047737651,0.5951810925336628,0.9170901396483538
season_standings,Logistic Regression,0.8949312000509189,0.6798429275400979,0.45722706517227063,0.5460710125049903,0.9110650048287686
season_standings,Elastic Net Logistic Regression,0.8949312000509189,0.6798654362508247,0.45722706517227063,0.546070159397642,0.9110742794681
season_standings,LDA,0.8826951917607138,0.618046761143776,0.40528435035284344,0.4889081775905163,0.9089124041919426
season_standings,QDA,0.8691988654671594,0.5333830100794494,0.4572395184723952,0.491765107823057,0.8932588642395798
season_standings,KNN,0.8937952351211905,0.649095482289107,0.5100581154005812,0.5700430619400076,0.8960186605014018
season_standings,Decision Tree,0.8954347385045012,0.6354748134748134,0.5765421336654214,0.603224720223889,0.9014994891655073
season_standings,Random Forest,0.8844611167908474,0.5951295951364814,0.5200747198007472,0.5546442098056314,0.8959440379445794
season_standings,Gradient Boosting,0.8982100476965243,0.6627738306043884,0.5391697799916979,0.5942823219649883,0.9177148361409477
driver_circuit_history,Logistic Regression,0.8945518555499421,0.6664216647590209,0.47632627646326275,0.5548048260684169,0.9072343615055061
driver_circuit_history,Elastic Net Logistic Regression,0.8944257521451501,0.6660201432036532,0.4754171855541719,0.5540707206434574,0.9072313940463623
driver_circuit_history,LDA,0.8799191665241206,0.612852062706558,0.3606268161062681,0.4532034651344339,0.8986599817546086
driver_circuit_history,QDA,0.85986283768463,0.4927163051277345,0.4525612287256123,0.4714545307511119,0.8795697138658289
driver_circuit_history,KNN,0.8872357894988087,0.6172694727066881,0.48999584889995845,0.5459909766448952,0.8832799418602884
driver_circuit_history,Decision Tree,0.8939210998444592,0.6501156912800422,0.5082025736820258,0.5691283472159621,0.8956175490641185
driver_circuit_history,Random Forest,0.8707117880826315,0.5344342821395204,0.5163677874636778,0.5249443378633187,0.8694594058274637
driver_circuit_history,Gradient Boosting,0.8920298670146114,0.6377594705459873,0.5109506019095059,0.5670862481044182,0.9076773379718684
